rep,throughput_per_hr,avg_lead_time_min,generated,completed,downtime_total_min,quality_rate
1,2.5,38.03039711180472,21,20,167.09831337082227,0.9
2,1.375,26.014436839615417,14,11,94.19257570147089,0.9090909090909091
3,2.875,39.661342389983275,25,23,170.17682933040408,0.9130434782608696
4,2.875,56.218108071454566,24,23,128.2640702926571,0.9565217391304348
5,2.125,71.87870256664934,18,17,210.07429579786873,0.9411764705882353
6,2.25,40.29223429444753,18,18,82.46605453125426,0.9444444444444444
7,2.75,64.54490898554592,26,22,277.28597054748,0.8636363636363636
8,1.75,40.67585203051296,24,14,227.67067325849027,0.8571428571428572
9,3.125,31.33634262237048,26,25,79.5130810231193,0.8
10,4.5,80.0421800396471,41,36,285.4204251561499,0.8333333333333334
11,2.875,87.69964800526387,25,23,319.31773239512347,0.9565217391304348
12,0.875,91.96975813966732,16,7,353.51719629729166,1.0
13,2.125,42.64139615036958,17,17,100.54167857920083,0.9411764705882353
14,2.125,26.560333714535563,19,17,81.1785812827257,0.9411764705882353
15,3.125,85.54524583141061,26,25,154.25544715420583,0.96
16,3.25,39.73959698403911,28,26,104.17807108633241,0.8846153846153846
17,3.0,58.70446329733189,24,24,159.17214444859945,0.9166666666666666
18,2.5,37.25503865139956,20,20,28.34383714062986,0.85
19,2.25,38.32431517847187,19,18,121.01563221371002,0.8333333333333334
20,2.625,135.4770167792872,23,21,238.95198319615216,1.0
21,2.875,44.05933445288649,24,23,88.12561683927773,0.9565217391304348
22,3.5,54.919021265508434,31,28,50.09752846813109,0.9642857142857143
23,3.75,74.27187368697248,32,30,188.4541039165943,0.8
24,2.75,37.410882396918964,23,22,131.064304076398,1.0
25,1.875,26.005178130833503,16,15,53.49021194664121,0.8666666666666667
26,2.75,76.6131160195406,26,22,200.32242781862425,0.9545454545454546
27,2.125,38.01178549910641,18,17,149.97630166173136,0.9411764705882353
28,3.875,71.70935889245128,34,31,147.54467161864693,0.8387096774193549
29,2.5,41.522743373249725,24,20,148.06932388684143,0.9
30,2.375,32.506910199301004,19,19,156.16968789617138,1.0
