rep,throughput_per_hr,avg_lead_time_min,generated,completed,downtime_total_min,quality_rate
1,4.25,39.034904085269865,36,34,75.7966533054071,0.9411764705882353
2,2.875,59.107134255530205,23,23,112.7196082717797,0.9130434782608696
3,3.25,28.506674693402513,26,26,38.50015803733203,0.9615384615384616
4,3.5,35.32625807606572,30,28,58.219518585211844,1.0
5,3.875,53.335091333370414,32,31,117.80715222900821,0.967741935483871
6,2.625,26.971439836771513,23,21,42.70891173712678,0.9047619047619048
7,3.75,32.42615049162592,33,30,82.36677997969727,0.8666666666666667
8,2.875,23.828682788076605,25,23,26.54637249142883,0.8260869565217391
9,3.25,24.174524065910845,28,26,4.2101827663368,0.9615384615384616
10,5.0,58.28202667547137,45,40,130.49498117650936,0.925
11,3.5,66.42512177531155,31,28,175.71985490486537,0.9642857142857143
12,2.25,26.95854662788848,19,18,91.43255248720217,0.9444444444444444
13,1.875,26.87760742266924,20,15,76.63260027071632,1.0
14,3.625,27.26548873642429,30,29,23.661750798658204,0.9655172413793104
15,3.75,24.971003329980828,32,30,11.11148516121326,0.9666666666666667
16,3.875,29.993480107527983,32,31,81.70906177868207,1.0
17,3.75,36.656197720691104,30,30,103.11284527640535,0.9
18,3.125,41.127912986577726,30,25,116.58760805623362,0.92
19,2.25,27.202158451255467,19,18,52.86844187298675,0.8888888888888888
20,3.375,28.949514738239543,28,27,38.51080676322081,0.962962962962963
21,4.5,59.7533438269163,39,36,51.34179287696881,0.9166666666666666
22,2.375,26.29277186284121,20,19,29.764130214949688,1.0
23,3.875,35.17172915360989,32,31,38.91678109939251,1.0
24,3.375,33.46356850681395,27,27,96.24789117111627,1.0
25,3.125,33.09697631535338,25,25,56.68407768541198,0.88
26,1.5,24.25926567587067,15,12,72.7617519775929,0.9166666666666666
27,2.25,33.010315161372105,22,18,102.86547304377824,0.9444444444444444
28,3.625,72.14572170453593,32,29,161.40425065900217,0.896551724137931
29,4.0,28.27739472377229,33,32,20.558430995804372,0.90625
30,2.5,31.457642211636752,25,20,109.91400234273756,0.95
